"","id","category"
"1","224517","Age of Reason"
"2","224517","Economic"
"3","224517","Industry / Manufacturing"
"4","224517","Post-Napoleonic"
"5","224517","Trains"
"6","224517","Transportation"
"7","161936","Environmental"
"8","161936","Medical"
"9","342942","Animals"
"10","342942","Economic"
"11","342942","Environmental"
"12","174430","Adventure"
"13","174430","Exploration"
"14","174430","Fantasy"
"15","174430","Fighting"
"16","174430","Miniatures"
"17","233078","Civilization"
"18","233078","Economic"
"19","233078","Exploration"
"20","233078","Negotiation"
"21","233078","Political"
"22","233078","Science Fiction"
"23","233078","Space Exploration"
"24","233078","Territory Building"
"25","233078","Wargame"
"26","316554","Movies / TV / Radio theme"
"27","316554","Novel-based"
"28","316554","Political"
"29","316554","Science Fiction"
"30","167791","Civilization"
"31","167791","Economic"
"32","167791","Environmental"
"33","167791","Industry / Manufacturing"
"34","167791","Science Fiction"
"35","167791","Space Exploration"
"36","167791","Territory Building"
"37","115746","Fantasy"
"38","115746","Fighting"
"39","115746","Novel-based"
"40","115746","Territory Building"
"41","115746","Wargame"
"42","187645","Civil War"
"43","187645","Miniatures"
"44","187645","Movies / TV / Radio theme"
"45","187645","Science Fiction"
"46","187645","Space Exploration"
"47","187645","Wargame"
"48","162886","Environmental"
"49","162886","Fantasy"
"50","162886","Fighting"
"51","162886","Mythology"
"52","162886","Territory Building"
"53","291457","Adventure"
"54","291457","Exploration"
"55","291457","Fantasy"
"56","291457","Fighting"
"57","291457","Miniatures"
"58","220308","Civilization"
"59","220308","Economic"
"60","220308","Miniatures"
"61","220308","Science Fiction"
"62","220308","Space Exploration"
"63","220308","Territory Building"
"64","397598","Movies / TV / Radio theme"
"65","397598","Novel-based"
"66","397598","Political"
"67","397598","Science Fiction"
"68","12333","Modern Warfare"
"69","12333","Political"
"70","12333","Wargame"
"71","182028","Card Game"
"72","182028","Civilization"
"73","182028","Economic"
"74","84876","Animals"
"75","84876","Dice"
"76","84876","Medieval"
"77","84876","Territory Building"
"78","193738","American West"
"79","193738","Animals"
"80","193738","Economic"
"81","169786","Economic"
"82","169786","Fighting"
"83","169786","Science Fiction"
"84","169786","Territory Building"
"85","246900","Civilization"
"86","246900","Exploration"
"87","246900","Science Fiction"
"88","246900","Space Exploration"
"89","246900","Territory Building"
"90","246900","Wargame"
"91","173346","Ancient"
"92","173346","Card Game"
"93","173346","City Building"
"94","173346","Civilization"
"95","173346","Economic"
"96","28720","Economic"
"97","28720","Educational"
"98","28720","Industry / Manufacturing"
"99","28720","Post-Napoleonic"
"100","28720","Transportation"
"101","167355","Adventure"
"102","167355","Horror"
"103","167355","Miniatures"
"104","167355","Science Fiction"
"105","266507","Adventure"
"106","266507","Fantasy"
"107","266507","Miniatures"
"108","177736","Economic"
"109","177736","Farming"
"110","177736","Industry / Manufacturing"
"111","177736","Medieval"
"112","177736","Puzzle"
"113","295770","Adventure"
"114","295770","Exploration"
"115","295770","Fantasy"
"116","295770","Fighting"
"117","295770","Miniatures"
"118","124361","Ancient"
"119","124361","Economic"
"120","124361","Nautical"
"121","341169","American West"
"122","341169","Animals"
"123","341169","Economic"
"124","205637","Adventure"
"125","205637","Card Game"
"126","205637","Collectible Components"
"127","205637","Exploration"
"128","205637","Horror"
"129","205637","Novel-based"
"130","312484","Adventure"
"131","312484","Exploration"
"132","312484","Fantasy"
"133","237182","Animals"
"134","237182","Fantasy"
"135","237182","Negotiation"
"136","237182","Territory Building"
"137","237182","Wargame"
"138","120677","Civilization"
"139","120677","Economic"
"140","120677","Fantasy"
"141","120677","Territory Building"
"142","192135","Adventure"
"143","192135","Dice"
"144","192135","Fantasy"
"145","192135","Fighting"
"146","266192","Animals"
"147","266192","Card Game"
"148","266192","Educational"
"149","164928","Medieval"
"150","164928","Religious"
"151","164928","Travel"
"152","96848","Adventure"
"153","96848","Exploration"
"154","96848","Fantasy"
"155","96848","Fighting"
"156","96848","Miniatures"
"157","251247","Economic"
"158","251247","Environmental"
"159","251247","Industry / Manufacturing"
"160","373106","Aviation / Flight"
"161","324856","Adventure"
"162","324856","Card Game"
"163","324856","Deduction"
"164","324856","Mythology"
"165","324856","Nautical"
"166","199792","Animals"
"167","199792","Card Game"
"168","199792","City Building"
"169","199792","Fantasy"
"170","183394","Economic"
"171","183394","Farming"
"172","366013","Racing"
"173","366013","Sports"
"174","285774","Card Game"
"175","285774","Collectible Components"
"176","285774","Comic Book / Strip"
"177","285774","Fighting"
"178","175914","Economic"
"179","175914","Industry / Manufacturing"
"180","521","Action / Dexterity"
"181","256960","Economic"
"182","256960","Educational"
"183","256960","Negotiation"
"184","256960","Political"
"185","256960","Post-Napoleonic"
"186","256960","Spies / Secret Agents"
"187","284378","Economic"
"188","284378","Industry / Manufacturing"
"189","247763","Card Game"
"190","247763","City Building"
"191","247763","Civilization"
"192","247763","Industry / Manufacturing"
"193","247763","Nautical"
"194","247763","Science Fiction"
"195","421006","Card Game"
"196","421006","Fantasy"
"197","421006","Novel-based"
"198","321608","Economic"
"199","321608","Educational"
"200","321608","Negotiation"
"201","321608","Political"
"202","3076","City Building"
"203","3076","Economic"
"204","3076","Farming"
"205","295947","Animals"
"206","295947","Environmental"
"207","295947","Puzzle"
"208","253344","Fantasy"
"209","253344","Fighting"
"210","253344","Horror"
"211","253344","Miniatures"
"212","253344","Novel-based"
"213","314040","Medical"
"214","314040","Spies / Secret Agents"
"215","102794","Animals"
"216","102794","Economic"
"217","102794","Fantasy"
"218","102794","Farming"
"219","185343","Economic"
"220","185343","Science Fiction"
"221","184267","City Building"
"222","184267","Economic"
"223","184267","Exploration"
"224","184267","Science Fiction"
"225","184267","Space Exploration"
"226","184267","Territory Building"
"227","170216","Fantasy"
"228","170216","Fighting"
"229","170216","Miniatures"
"230","170216","Mythology"
"231","31260","Animals"
"232","31260","Economic"
"233","31260","Farming"
"234","251661","Adventure"
"235","251661","Card Game"
"236","251661","Dice"
"237","251661","Exploration"
"238","251661","Fantasy"
"239","251661","Fighting"
"240","251661","Miniatures"
"241","251661","Mythology"
"242","251661","Puzzle"
"243","255984","Adventure"
"244","255984","Exploration"
"245","255984","Fantasy"
"246","255984","Fighting"
"247","255984","Nautical"
"248","161533","City Building"
"249","161533","Economic"
"250","161533","Industry / Manufacturing"
"251","161533","Political"
"252","221107","Environmental"
"253","221107","Exploration"
"254","221107","Medical"
"255","221107","Science Fiction"
"256","231733","Post-Napoleonic"
"257","182874","Economic"
"258","383179","Civilization"
"259","383179","Fantasy"
"260","383179","Territory Building"
"261","205059","Adventure"
"262","205059","Exploration"
"263","205059","Fantasy"
"264","205059","Fighting"
"265","205059","Horror"
"266","205059","Miniatures"
"267","205059","Murder / Mystery"
"268","205059","Mythology"
"269","205059","Puzzle"
"270","338960","Adventure"
"271","338960","Card Game"
"272","338960","Fantasy"
"273","338960","Fighting"
"274","338960","Video Game Theme"
"275","126163","Ancient"
"276","126163","Civilization"
"277","126163","Economic"
"278","126163","Farming"
"279","126163","Mythology"
"280","2651","Economic"
"281","2651","Industry / Manufacturing"
"282","244521","Fantasy"
"283","244521","Medieval"
"284","216132","Economic"
"285","216132","Farming"
"286","276025","Economic"
"287","276025","Exploration"
"288","276025","Nautical"
"289","276025","Pirates"
"290","35677","City Building"
"291","35677","Economic"
"292","35677","Industry / Manufacturing"
"293","35677","Nautical"
"294","266810","Medieval"
"295","125153","Economic"
"296","164153","Adventure"
"297","164153","Exploration"
"298","164153","Fighting"
"299","164153","Miniatures"
"300","164153","Movies / TV / Radio theme"
"301","164153","Science Fiction"
"302","164153","Wargame"
"303","124742","Bluffing"
"304","124742","Card Game"
"305","124742","Collectible Components"
"306","124742","Science Fiction"
"307","365717","Adventure"
"308","365717","Fantasy"
"309","209010","Fantasy"
"310","209010","Fighting"
"311","209010","Miniatures"
"312","209010","Video Game Theme"
"313","200680","Animals"
"314","200680","Economic"
"315","200680","Farming"
"316","284083","Card Game"
"317","284083","Science Fiction"
"318","284083","Space Exploration"
"319","55690","Adventure"
"320","55690","Dice"
"321","55690","Fantasy"
"322","55690","Fighting"
"323","55690","Horror"
"324","55690","Mature / Adult"
"325","55690","Miniatures"
"326","55690","Mythology"
"327","28143","Card Game"
"328","28143","Civilization"
"329","28143","Economic"
"330","28143","Science Fiction"
"331","28143","Space Exploration"
"332","230802","Abstract Strategy"
"333","230802","Puzzle"
"334","230802","Renaissance"
"335","157354","Arabian"
"336","157354","Fantasy"
"337","157354","Mythology"
"338","201808","Adventure"
"339","201808","Fantasy"
"340","72125","Civilization"
"341","72125","Fighting"
"342","72125","Science Fiction"
"343","72125","Space Exploration"
"344","72125","Territory Building"
"345","72125","Wargame"
"346","159675","Economic"
"347","159675","Farming"
"348","159675","Industry / Manufacturing"
"349","191189","Card Game"
"350","191189","Fantasy"
"351","191189","Fighting"
"352","191189","Science Fiction"
"353","371942","Dice"
"354","371942","Economic"
"355","414317","Animals"
"356","414317","Environmental"
"357","332772","Civilization"
"358","332772","Industry / Manufacturing"
