"","id","designer"
"1","224517","Gavan Brown"
"2","224517","Matt Tolman"
"3","224517","Martin Wallace"
"4","161936","Rob Daviau"
"5","161936","Matt Leacock"
"6","342942","Mathias Wigge"
"7","174430","Isaac Childres"
"8","233078","Dane Beltrami"
"9","233078","Corey Konieczka"
"10","233078","Christian T. Petersen"
"11","316554","Paul Dennen"
"12","167791","Jacob Fryxelius"
"13","115746","Roberto Di Meglio"
"14","115746","Marco Maggi"
"15","115746","Francesco Nepitello"
"16","187645","Corey Konieczka"
"17","162886","R. Eric Reuss"
"18","291457","Isaac Childres"
"19","220308","Jens Drogemuller"
"20","220308","Helge Ostertag"
"21","397598","Paul Dennen"
"22","12333","Ananda Gupta"
"23","12333","Jason Matthews"
"24","182028","Vlaada Chvatil"
"25","84876","Stefan Feld"
"26","193738","Alexander Pfister"
"27","169786","Jamey Stegmaier"
"28","246900","Touko Tahkokallio"
"29","173346","Antoine Bauza"
"30","173346","Bruno Cathala"
"31","28720","Martin Wallace"
"32","167355","Adam Kwapinski"
"33","266507","Andy Clautice"
"34","266507","Paul Dennen"
"35","177736","Uwe Rosenberg"
"36","295770","Isaac Childres"
"37","124361","Mac Gerdts"
"38","341169","Alexander Pfister"
"39","205637","Nate French"
"40","205637","MJ Newman"
"41","312484","Elwen"
"42","312484","Min"
"43","237182","Cole Wehrle"
"44","120677","Jens Drogemuller"
"45","120677","Helge Ostertag"
"46","192135","Josh J. Carlson"
"47","192135","Adam Carlson"
"48","266192","Elizabeth Hargrave"
"49","164928","Reiner Stockhausen"
"50","96848","Vlaada Chvatil"
"51","251247","Tommaso Battista"
"52","251247","Simone Luciani"
"53","373106","Luc Remond"
"54","324856","Thomas Sing"
"55","199792","James A. Wilson"
"56","183394","Jamey Stegmaier"
"57","183394","Alan Stone"
"58","366013","Asger Harding Granerud"
"59","366013","Daniel Skjold Pedersen"
"60","285774","Michael Boggs"
"61","285774","Nate French"
"62","285774","Caleb Grace"
"63","175914","Jeroen Doumen"
"64","175914","Joris Wiersinga"
"65","521","(Uncredited)"
"66","256960","Cole Wehrle"
"67","284378","Vital Lacerda"
"68","247763","Vladimir Suchy"
"69","421006","Antoine Bauza"
"70","421006","Bruno Cathala"
"71","321608","Vangelis Bagiartakis"
"72","321608","Varnavas Timotheou"
"73","3076","Andreas Seyfarth"
"74","295947","Randy Flynn"
"75","253344","Rob Daviau"
"76","253344","Eric M. Lang"
"77","314040","Rob Daviau"
"78","314040","Matt Leacock"
"79","102794","Uwe Rosenberg"
"80","185343","David Turczi"
"81","185343","Richard Amann"
"82","185343","Viktor Peter"
"83","184267","Vital Lacerda"
"84","170216","Eric M. Lang"
"85","31260","Uwe Rosenberg"
"86","251661","Jamie Jolly"
"87","255984","Ryan Laukat"
"88","161533","Vital Lacerda"
"89","221107","Rob Daviau"
"90","221107","Matt Leacock"
"91","231733","Dan Hallagan"
"92","182874","Virginio Gigli"
"93","182874","Simone Luciani"
"94","383179","Helge Ostertag"
"95","205059","Nikki Valens"
"96","338960","Gary Dworetsky"
"97","338960","Anthony Giovannetti"
"98","338960","Casey Yano"
"99","126163","Simone Luciani"
"100","126163","Daniele Tascini"
"101","2651","Friedemann Friese"
"102","244521","Wolfgang Warsch"
"103","216132","Juma Al-JouJou"
"104","276025","Alexander Pfister"
"105","35677","Uwe Rosenberg"
"106","266810","S J Macdonald"
"107","266810","Shem Phillips"
"108","125153","Vital Lacerda"
"109","164153","Justin Kemppainen"
"110","164153","Corey Konieczka"
"111","164153","Jonathan Ying"
"112","124742","Richard Garfield"
"113","124742","Lukas Litzsinger"
"114","365717","Paul Dennen"
"115","209010","Chris Cantrell"
"116","209010","Rick Ernst"
"117","209010","Stone Librande"
"118","209010","Prashant Saraswat"
"119","209010","Nathan Tiras"
"120","200680","Uwe Rosenberg"
"121","284083","Thomas Sing"
"122","55690","Adam Poots"
"123","28143","Thomas Lehmann"
"124","230802","Michael Kiesling"
"125","157354","Bruno Cathala"
"126","201808","Paul Dennen"
"127","72125","Touko Tahkokallio"
"128","159675","Uwe Rosenberg"
"129","191189","Jenny Iglesias"
"130","191189","Nick Little (I)"
"131","191189","Kevin Riley"
"132","371942","Isra C."
"133","371942","Shei S."
"134","414317","Johan Benvenuto"
"135","332772","Helge Meissner"
"136","332772","Kristian Amundsen Ostby"
"137","332772","Eilif Svensson"
"138","332772","Anna Wermlund"
"139","322289","Simone Luciani"
"140","322289","Nestore Mangone"
"141","110327","Peter Lee"
"142","110327","Rodney Thompson"
"143","390092","Rob Daviau"
"144","390092","Matt Leacock"
"145","390092","Alan R. Moon"
"146","93","Wolfgang Kramer"
"147","93","Richard Ulrich"
"148","229853","Daniele Tascini"
"149","418059","Tomas Holek"
"150","317985","Dennis K. Chan"
"151","25613","Vlaada Chvatil"
"152","256916","Mac Gerdts"
"153","291453","Kei Kajino (梶野 桂)"
"154","366161","Elizabeth Hargrave"
"155","62219","Chad Jensen"
"156","380607","Alexander Pfister"
"157","279537","Matthew O'Malley"
"158","279537","Ben Rosset"
"159","68448","Antoine Bauza"
"160","121921","Joanna Kijanka"
"161","121921","Ignacy Trzewiczek"
"162","171623","Simone Luciani"
"163","171623","Daniele Tascini"
"164","240980","Steven Medway"
"165","277659","Evan Derrick"
"166","277659","A. J. Porfirio"
"167","225694","Thomas Dagenais-Lesperance"
"168","155821","Christian Martinez"
"169","364073","Marc Andre"
"170","364073","Bruno Cathala"
"171","163068","Richard Amann"
"172","163068","Viktor Peter"
"173","37111","Corey Konieczka"
"174","310873","Xavier Georges"
"175","236457","S J Macdonald"
"176","236457","Shem Phillips"
"177","337627","Nigel Buckle"
"178","337627","David Turczi"
"179","264220","Krzysztof Piskorski"
"180","264220","Marcin Swierkot"
"181","217372","Reiner Knizia"
"182","122515","Sebastian Bleasdale"
"183","122515","Richard Breese"
"184","42","Reiner Knizia"
"185","170042","Shem Phillips"
"186","271055","Luke Laurie"
"187","40834","Donald X. Vaccarino"
"188","18602","William Attia"
"189","203993","Flaminia Brasini"
"190","203993","Virginio Gigli"
"191","203993","Simone Luciani"
"192","73439","Sebastien Dujardin"
"193","73439","Xavier Georges"
