"","id","family"
"1","224517","Cities: Birmingham (England)"
"2","224517","Components: Map (Regional scale)"
"3","224517","Components: Multi-Use Cards"
"4","224517","Country: England"
"5","224517","Crowdfunding: Kickstarter"
"6","224517","Crowdfunding: Spieleschmiede"
"7","224517","Digital Implementations: Steam"
"8","224517","Digital Implementations: Tabletopia"
"9","224517","Digital Implementations: VASSAL"
"10","224517","Food & Drink: Beer"
"11","224517","Game: Brass"
"12","224517","History: Industrial Revolution"
"13","224517","Misc: LongPack Games"
"14","224517","Misc: Watch It Played How To Videos"
"15","224517","Occupation: Engineer"
"16","224517","Organizations: The Game Artisans of Canada"
"17","224517","Theme: Canals"
"18","161936","Components: Map (Global Scale)"
"19","161936","Components: Multi-Use Cards"
"20","161936","Game: Pandemic"
"21","161936","Mechanism: Campaign Games"
"22","161936","Mechanism: Legacy"
"23","161936","Medical: Diseases"
"24","161936","Misc: Limited Replayability"
"25","161936","Misc: Made by Panda"
"26","161936","Occupation: Dispatcher"
"27","161936","Occupation: Medic / Doctor / Nurses"
"28","161936","Occupation: Researcher / Scientist"
"29","161936","Region: The World"
"30","161936","Theme: Science"
"31","161936","Versions & Editions: Legacy Versions of Non-Legacy Games"
"32","342942","Animals: Okapi"
"33","342942","Components: Hexagonal Tiles"
"34","342942","Digital Implementations: Board Game Arena"
"35","342942","Digital Implementations: Steam"
"36","342942","Digital Implementations: TableTop Simulator Mod (TTS)"
"37","342942","Game: Ark Nova"
"38","342942","Mechanism: Tableau Building"
"39","342942","Players: Games with Solitaire Rules"
"40","342942","Theme: Ecology"
"41","342942","Theme: Science"
"42","342942","Theme: Zoos, Aquaria, Safari Parks"
"43","174430","Category: Dungeon Crawler"
"44","174430","Components: Map (City Scale)"
"45","174430","Components: Miniatures"
"46","174430","Components: Multi-Use Cards"
"47","174430","Components: Standees"
"48","174430","Creatures: Demons"
"49","174430","Creatures: Dragons"
"50","174430","Creatures: Monsters"
"51","174430","Crowdfunding: Kickstarter"
"52","174430","Digital Implementations: Steam"
"53","174430","Digital Implementations: TableTop Simulator Mod (TTS)"
"54","174430","Game: Gloomhaven"
"55","174430","Mechanism: Campaign Games"
"56","174430","Mechanism: Legacy"
"57","174430","Misc: Forteller Audio Narration"
"58","174430","Misc: Made by Panda"
"59","174430","Players: Games with Solitaire Rules"
"60","233078","Components: Hexagonal Tiles"
"61","233078","Components: Map (Interplanetary or Interstellar scale)"
"62","233078","Components: Miniatures"
"63","233078","Game: Twilight Imperium"
"64","233078","Mechanism: 4X"
"65","233078","Misc: Made by Panda"
"66","316554","Books: Dune"
"67","316554","Components:  Meeples"
"68","316554","Components: Multi-Use Cards"
"69","316554","Digital Implementations: Google Play"
"70","316554","Digital Implementations: Steam"
"71","316554","Game: Dune: Imperium"
"72","316554","Misc: LongPack Games"
"73","316554","Misc: Watch It Played How To Videos"
"74","316554","Players: Games with Solitaire Rules"
"75","167791","Category: Dized Tutorial"
"76","167791","Components: Map (Global Scale)"
"77","167791","Components: Multi-Use Cards"
"78","167791","Digital Implementations: Board Game Arena"
"79","167791","Digital Implementations: Google Play"
"80","167791","Digital Implementations: Steam"
"81","167791","Game: Terraforming Mars"
"82","167791","Mechanism: Tableau Building"
"83","167791","Occupation: Engineer"
"84","167791","Players: Games with Solitaire Rules"
"85","167791","Series: Terraforming Mars"
"86","167791","Setting: Future Timeline (Fryxgames)"
"87","167791","Space: Colonization / Extraterrestrial Colonisation"
"88","167791","Space: Earth's Solar System"
"89","167791","Space: Jupiter"
"90","167791","Space: Mars"
"91","167791","Theme: Science"
"92","115746","Authors: J.R.R. Tolkien"
"93","115746","Category: Dized Tutorial"
"94","115746","Components: Map (Continental / National scale)"
"95","115746","Components: Miniatures"
"96","115746","Creatures: Monsters"
"97","115746","Series: War of the Ring (Nexus/Ares Games)"
"98","115746","Theme: Medieval Fantasy"
"99","187645","Category: Two-Player Fighting Games"
"100","187645","Components: Map (Interplanetary or Interstellar scale)"
"101","187645","Components: Miniatures"
"102","187645","Components: Standees"
"103","187645","Creatures: Aliens / Extraterrestrials"
"104","187645","Movies: Star Wars"
"105","187645","Players: Two-Player Only Games"
"106","187645","Players: Wargames with Rules Supporting Only Two Players"
"107","162886","Category: Dized Tutorial"
"108","162886","Components: Control Boards"
"109","162886","Components: Map (Continental / National scale)"
"110","162886","Components: Miniatures"
"111","162886","Components: Official Music Soundtrack"
"112","162886","Components: Wooden pieces & boards"
"113","162886","Crowdfunding: Kickstarter"
"114","162886","Digital Implementations: Apple App Store"
"115","162886","Digital Implementations: Google Play"
"116","162886","Digital Implementations: Steam"
"117","162886","Game: Spirit Island"
"118","162886","Islands: Fictional"
"119","162886","Misc: LongPack Games"
"120","162886","Players: Games with Solitaire Rules"
"121","162886","Theme: Colonial"
"122","162886","Theme: Tropical"
"123","162886","Theme: Tropical Islands"
"124","291457","Category: Dungeon Crawler"
"125","291457","Components: Book as Board"
"126","291457","Components: Miniatures"
"127","291457","Components: Multi-Use Cards"
"128","291457","Components: Standees"
"129","291457","Digital Implementations: Steam"
"130","291457","Digital Implementations: TableTop Simulator Mod (TTS)"
"131","291457","Game: Gloomhaven"
"132","291457","Mechanism: Campaign Games"
"133","291457","Mechanism: Legacy"
"134","291457","Misc: Forteller Audio Narration"
"135","291457","Misc: Limited Replayability"
"136","291457","Misc: Watch It Played How To Videos"
"137","291457","Players: Games with Solitaire Rules"
"138","220308","Category: Combinatorial"
"139","220308","Components: Control Boards"
"140","220308","Components: Map (Interplanetary or Interstellar scale)"
"141","220308","Digital Implementations: Board Game Arena"
"142","220308","Digital Implementations: Google Play"
"143","220308","Digital Implementations: Steam"
"144","220308","Digital Implementations: TableTop Simulator Mod (TTS)"
"145","220308","Mechanism: Tableau Building"
"146","220308","Misc: Made by Panda"
"147","220308","Organizations: Automa Factory"
"148","220308","Players: Games with Solitaire Rules"
"149","220308","Series: Terra Mystica"
"150","397598","Books: Dune"
"151","397598","Game: Dune: Imperium"
"152","397598","Misc: LongPack Games"
"153","397598","Misc: Watch It Played How To Videos"
"154","397598","Players: Games with Solitaire Rules"
"155","12333","Components: Map (Global Scale)"
"156","12333","Components: Multi-Use Cards"
"157","12333","Continents: Asia"
"158","12333","Country: Soviet Union"
"159","12333","Country: USA"
"160","12333","Digital Implementations: Google Play"
"161","12333","Digital Implementations: Steam"
"162","12333","Game: Twilight Struggle"
"163","12333","History: Cold War"
"164","12333","Misc: BGG Hall of Fame"
"165","12333","Misc: Dice Tower Hall of Fame"
"166","12333","Players: Two-Player Only Games"
"167","12333","Players: Wargames with Rules Supporting Only Two Players"
"168","12333","Political: NATO"
"169","12333","Region: The World"
"170","12333","Series: Twilight Struggle"
"171","12333","Theme: Nuclear option"
"172","12333","War Level of Command: Grand Strategy"
"173","182028","Digital Implementations: Board Game Arena"
"174","182028","Digital Implementations: Google Play"
"175","182028","Digital Implementations: Steam"
"176","182028","Game: Through the Ages"
"177","182028","Historical Figures: Various"
"178","182028","Mechanism: Tableau Building"
"179","182028","Misc: BGG Hall of Fame"
"180","182028","Theme: Colonial"
"181","84876","Animals: Cattle / Cows"
"182","84876","Animals: Chickens / Roosters"
"183","84876","Animals: Pigs"
"184","84876","Animals: Sheep"
"185","84876","Country: France"
"186","84876","Digital Implementations: Board Game Arena"
"187","84876","Digital Implementations: Boiteajeux"
"188","84876","Digital Implementations: Google Play"
"189","84876","Digital Implementations: Steam"
"190","84876","Digital Implementations: Yucata"
"191","84876","Game: The Castles of Burgundy"
"192","84876","Mechanism: Tableau Building"
"193","84876","Misc: BGG Hall of Fame"
"194","84876","Misc: Dice Tower Hall of Fame"
"195","84876","Misc: Watch It Played How To Videos"
"196","84876","Players: Games with expansions that add solo play"
"197","84876","Region: Burgundy (France)"
"198","84876","Series: Alea Big Box"
"199","193738","Animals: Cattle / Cows"
"200","193738","Cities: Kansas City (Missouri, USA)"
"201","193738","Components: Control Boards"
"202","193738","Components: Map (Regional scale)"
"203","193738","Components: Wooden pieces & boards"
