"","id","mechanic"
"1","224517","Chaining"
"2","224517","Hand Management"
"3","224517","Income"
"4","224517","Loans"
"5","224517","Market"
"6","224517","Network and Route Building"
"7","224517","Tags"
"8","224517","Tech Trees / Tech Tracks"
"9","224517","Turn Order: Stat-Based"
"10","224517","Variable Set-up"
"11","161936","Action Points"
"12","161936","Cooperative Game"
"13","161936","Hand Management"
"14","161936","Legacy Game"
"15","161936","Multi-Use Cards"
"16","161936","Point to Point Movement"
"17","161936","Scenario / Mission / Campaign Game"
"18","161936","Set Collection"
"19","161936","Tags"
"20","161936","Trading"
"21","161936","Variable Player Powers"
"22","342942","Action Queue"
"23","342942","End Game Bonuses"
"24","342942","Grid Coverage"
"25","342942","Hand Management"
"26","342942","Hexagon Grid"
"27","342942","Income"
"28","342942","Increase Value of Unchosen Resources"
"29","342942","Open Drafting"
"30","342942","Set Collection"
"31","342942","Solo / Solitaire Game"
"32","342942","Tags"
"33","342942","Tile Placement"
"34","342942","Variable Player Powers"
"35","342942","Variable Set-up"
"36","174430","Action Queue"
"37","174430","Action Retrieval"
"38","174430","Campaign / Battle Card Driven"
"39","174430","Card Play Conflict Resolution"
"40","174430","Communication Limits"
"41","174430","Cooperative Game"
"42","174430","Critical Hits and Failures"
"43","174430","Deck Construction"
"44","174430","Grid Movement"
"45","174430","Hand Management"
"46","174430","Hexagon Grid"
"47","174430","Legacy Game"
"48","174430","Line of Sight"
"49","174430","Modular Board"
"50","174430","Multi-Use Cards"
"51","174430","Narrative Choice / Paragraph"
"52","174430","Once-Per-Game Abilities"
"53","174430","Role Playing"
"54","174430","Scenario / Mission / Campaign Game"
"55","174430","Simultaneous Action Selection"
"56","174430","Solo / Solitaire Game"
"57","174430","Storytelling"
"58","174430","Tags"
"59","174430","Variable Player Powers"
"60","233078","Action Drafting"
"61","233078","Area-Impulse"
"62","233078","Dice Rolling"
"63","233078","Follow"
"64","233078","Grid Movement"
"65","233078","Hexagon Grid"
"66","233078","Increase Value of Unchosen Resources"
"67","233078","King of the Hill"
"68","233078","Modular Board"
"69","233078","Movement Points"
"70","233078","Race"
"71","233078","Tech Trees / Tech Tracks"
"72","233078","Trading"
"73","233078","Variable Phase Order"
"74","233078","Variable Player Powers"
"75","233078","Variable Set-up"
"76","233078","Voting"
"77","316554","Card Play Conflict Resolution"
"78","316554","Deck, Bag, and Pool Building"
"79","316554","Delayed Purchase"
"80","316554","Force Commitment"
"81","316554","Increase Value of Unchosen Resources"
"82","316554","Multi-Use Cards"
"83","316554","Open Drafting"
"84","316554","Race"
"85","316554","Solo / Solitaire Game"
"86","316554","Tags"
"87","316554","Take That"
"88","316554","Turn Order: Progressive"
"89","316554","Variable Player Powers"
"90","316554","Worker Placement"
"91","167791","Closed Drafting"
"92","167791","Contracts"
"93","167791","End Game Bonuses"
"94","167791","Hand Management"
"95","167791","Hexagon Grid"
"96","167791","Income"
"97","167791","Set Collection"
"98","167791","Solo / Solitaire Game"
"99","167791","Tags"
"100","167791","Take That"
"101","167791","Tech Trees / Tech Tracks"
"102","167791","Tile Placement"
"103","167791","Turn Order: Progressive"
"104","167791","Variable Player Powers"
"105","167791","Variable Set-up"
"106","167791","Victory Points as a Resource"
"107","115746","Action Drafting"
"108","115746","Area Majority / Influence"
"109","115746","Area Movement"
"110","115746","Campaign / Battle Card Driven"
"111","115746","Card Play Conflict Resolution"
"112","115746","Dice Rolling"
"113","115746","Events"
"114","115746","Hand Management"
"115","115746","Movement Points"
"116","115746","Team-Based Game"
"117","115746","Variable Player Powers"
"118","115746","Variable Set-up"
"119","187645","Area Majority / Influence"
"120","187645","Area Movement"
"121","187645","Card Play Conflict Resolution"
"122","187645","Contracts"
"123","187645","Delayed Purchase"
"124","187645","Dice Rolling"
"125","187645","Die Icon Resolution"
"126","187645","Events"
"127","187645","Hand Management"
"128","187645","Hidden Movement"
"129","187645","Income"
"130","187645","Once-Per-Game Abilities"
"131","187645","Tags"
"132","187645","Take That"
"133","187645","Team-Based Game"
"134","187645","Variable Player Powers"
"135","187645","Variable Set-up"
"136","187645","Worker Placement, Different Worker Types"
"137","162886","Action Retrieval"
"138","162886","Area Majority / Influence"
"139","162886","Automatic Resource Growth"
"140","162886","Campaign / Battle Card Driven"
"141","162886","Cooperative Game"
"142","162886","Deck, Bag, and Pool Building"
"143","162886","Hand Management"
"144","162886","Modular Board"
"145","162886","Simultaneous Action Selection"
"146","162886","Solo / Solitaire Game"
"147","162886","Tags"
"148","162886","Variable Player Powers"
"149","162886","Variable Set-up"
"150","291457","Action Queue"
"151","291457","Action Retrieval"
"152","291457","Campaign / Battle Card Driven"
"153","291457","Communication Limits"
"154","291457","Cooperative Game"
"155","291457","Critical Hits and Failures"
"156","291457","Deck Construction"
"157","291457","Grid Movement"
"158","291457","Hand Management"
"159","291457","Hexagon Grid"
"160","291457","Legacy Game"
"161","291457","Line of Sight"
"162","291457","Multi-Use Cards"
"163","291457","Once-Per-Game Abilities"
"164","291457","Player Elimination"
"165","291457","Role Playing"
"166","291457","Scenario / Mission / Campaign Game"
"167","291457","Simultaneous Action Selection"
"168","291457","Solo / Solitaire Game"
"169","291457","Variable Player Powers"
"170","220308","End Game Bonuses"
"171","220308","Hexagon Grid"
"172","220308","Income"
"173","220308","Modular Board"
"174","220308","Network and Route Building"
"175","220308","Solo / Solitaire Game"
"176","220308","Tags"
"177","220308","Tech Trees / Tech Tracks"
"178","220308","Turn Order: Pass Order"
"179","220308","Variable Player Powers"
"180","220308","Variable Set-up"
"181","220308","Victory Points as a Resource"
"182","397598","Automatic Resource Growth"
"183","397598","Card Play Conflict Resolution"
"184","397598","Deck, Bag, and Pool Building"
"185","397598","Delayed Purchase"
"186","397598","Force Commitment"
"187","397598","Increase Value of Unchosen Resources"
"188","397598","Multi-Use Cards"
"189","397598","Open Drafting"
"190","397598","Solo / Solitaire Game"
"191","397598","Team-Based Game"
"192","397598","Turn Order: Progressive"
"193","397598","Variable Player Powers"
"194","397598","Worker Placement"
"195","12333","Action / Event"
"196","12333","Advantage Token"
"197","12333","Area Majority / Influence"
"198","12333","Campaign / Battle Card Driven"
"199","12333","Dice Rolling"
"200","12333","Events"
"201","12333","Hand Management"
"202","12333","Simulation"
"203","12333","Simultaneous Action Selection"
"204","12333","Sudden Death Ending"
"205","12333","Tug of War"
"206","12333","Variable Set-up"
"207","182028","Action Points"
"208","182028","Auction / Bidding"
"209","182028","Auction: Dutch"
"210","182028","Events"
"211","182028","Income"
"212","182028","Open Drafting"
"213","182028","Player Elimination"
"214","182028","Tags"
"215","182028","Take That"
"216","84876","Delayed Purchase"
"217","84876","Dice Rolling"
"218","84876","End Game Bonuses"
"219","84876","Grid Coverage"
"220","84876","Hexagon Grid"
"221","84876","Open Drafting"
"222","84876","Pattern Building"
"223","84876","Tile Placement"
"224","84876","Track Movement"
"225","84876","Turn Order: Stat-Based"
"226","84876","Variable Set-up"
"227","193738","Deck, Bag, and Pool Building"
"228","193738","Hand Management"
"229","193738","Ownership"
"230","193738","Set Collection"
"231","193738","Track Movement"
"232","193738","Variable Set-up"
"233","169786","Area Majority / Influence"
"234","169786","Card Play Conflict Resolution"
"235","169786","Contracts"
"236","169786","End Game Bonuses"
"237","169786","Force Commitment"
"238","169786","Grid Movement"
"239","169786","Hexagon Grid"
"240","169786","King of the Hill"
"241","169786","Movement Points"
"242","169786","Narrative Choice / Paragraph"
"243","169786","Solo / Solitaire Game"
"244","169786","Take That"
"245","169786","Tech Trees / Tech Tracks"
"246","169786","Variable Player Powers"
"247","169786","Variable Set-up"
"248","169786","Victory Points as a Resource"
"249","169786","Zone of Control"
"250","246900","Alliances"
"251","246900","Area Majority / Influence"
"252","246900","Area-Impulse"
"253","246900","Dice Rolling"
"254","246900","Grid Movement"
"255","246900","Hexagon Grid"
"256","246900","Hot Potato"
"257","246900","Income"
"258","246900","Modular Board"
"259","246900","Passed Action Token"
"260","246900","Tech Trees / Tech Tracks"
"261","246900","Variable Player Powers"
"262","173346","End Game Bonuses"
"263","173346","Income"
"264","173346","Layering"
"265","173346","Melding and Splaying"
"266","173346","Modular Board"
"267","173346","Multi-Use Cards"
"268","173346","Once-Per-Game Abilities"
"269","173346","Open Drafting"
"270","173346","Score-and-Reset Game"
"271","173346","Set Collection"
"272","173346","Sudden Death Ending"
"273","173346","Tags"
"274","173346","Tech Trees / Tech Tracks"
"275","173346","Track Movement"
"276","173346","Tug of War"
"277","173346","Variable Player Powers"
"278","173346","Variable Set-up"
"279","173346","Victory Points as a Resource"
"280","28720","Hand Management"
"281","28720","Income"
"282","28720","Loans"
"283","28720","Market"
"284","28720","Network and Route Building"
"285","28720","Tech Trees / Tech Tracks"
"286","28720","Turn Order: Stat-Based"
"287","167355","Campaign / Battle Card Driven"
"288","167355","Cooperative Game"
"289","167355","Dice Rolling"
"290","167355","Hand Management"
"291","167355","Hidden Roles"
"292","167355","Interrupts"
"293","167355","Modular Board"
"294","167355","Player Elimination"
"295","167355","Semi-Cooperative Game"
"296","167355","Solo / Solitaire Game"
"297","167355","Team-Based Game"
"298","167355","Traitor Game"
"299","167355","Variable Player Powers"
"300","266507","Deck, Bag, and Pool Building"
"301","266507","Delayed Purchase"
"302","266507","End Game Bonuses"
"303","266507","Events"
"304","266507","Legacy Game"
"305","266507","Map Addition"
"306","266507","Movement Points"
"307","266507","Narrative Choice / Paragraph"
"308","266507","Once-Per-Game Abilities"
"309","266507","Open Drafting"
"310","266507","Pick-up and Deliver"
"311","266507","Player Elimination"
"312","266507","Point to Point Movement"
"313","266507","Push Your Luck"
"314","266507","Scenario / Mission / Campaign Game"
"315","266507","Set Collection"
"316","266507","Variable Player Powers"
"317","266507","Variable Set-up"
"318","177736","Automatic Resource Growth"
"319","177736","Dice Rolling"
"320","177736","Grid Coverage"
"321","177736","Income"
"322","177736","Push Your Luck"
"323","177736","Solo / Solitaire Game"
"324","177736","Tile Placement"
"325","177736","Turn Order: Pass Order"
"326","177736","Worker Placement"
"327","295770","Campaign / Battle Card Driven"
"328","295770","Communication Limits"
"329","295770","Cooperative Game"
"330","295770","Deck Construction"
"331","295770","Deck, Bag, and Pool Building"
"332","295770","Grid Movement"
"333","295770","Hand Management"
"334","295770","Hexagon Grid"
"335","295770","Legacy Game"
"336","295770","Modular Board"
"337","295770","Multi-Use Cards"
"338","295770","Narrative Choice / Paragraph"
"339","295770","Once-Per-Game Abilities"
"340","295770","Scenario / Mission / Campaign Game"
"341","295770","Simultaneous Action Selection"
"342","295770","Solo / Solitaire Game"
"343","295770","Variable Player Powers"
"344","124361","Action Retrieval"
"345","124361","Advantage Token"
"346","124361","Auction: Dutch"
"347","124361","Deck, Bag, and Pool Building"
"348","124361","End Game Bonuses"
"349","124361","Hand Management"
