"","id","publisher"
"1","224517","Roxley"
"2","224517","Arclight Games"
"3","224517","Board Game Rookie"
"4","224517","BoardM Factory"
"5","224517","CMON Global Limited"
"6","224517","Conclave Editora"
"7","224517","CrowD Games"
"8","224517","Dexker Games"
"9","224517","Funforge"
"10","224517","Gem Klub Kft."
"11","224517","Ghenos Games"
"12","224517","Giant Roc"
"13","224517","Lanlalen"
"14","224517","Lord of Boards"
"15","224517","Maldito Games"
"16","224517","PHALANX"
"17","224517","Rebel Sp. z o.o."
"18","224517","TLAMA games"
"19","224517","White Goblin Games"
"20","224517","盒拍工作室 Hepa Studio"
"21","161936","Z-Man Games"
"22","161936","Asterion Press"
"23","161936","Devir"
"24","161936","Filosofia Editions"
"25","161936","Gem Klub Kft."
"26","161936","Hobby Japan"
"27","161936","Jolly Thinkers"
"28","161936","Korea Boardgames"
"29","161936","Lacerta"
"30","161936","Lifestyle Boardgames Ltd"
"31","161936","MINDOK"
"32","161936","Ігромаг"
"33","342942","Feuerland Spiele"
"34","342942","Capstone Games"
"35","342942","CMON Global Limited"
"36","342942","Cranio Creations"
"37","342942","Game Harbor"
"38","342942","Gem Klub Kft."
"39","342942","Grok Games"
"40","342942","IGAMES"
"41","342942","Korea Boardgames"
"42","342942","Lautapelit.fi"
"43","342942","Ludofy Creative"
"44","342942","Maldito Games"
"45","342942","MINDOK"
"46","342942","MIPL"
"47","342942","Portal Games"
"48","342942","Regatul Jocurilor"
"49","342942","Super Meeple"
"50","342942","テンデイズゲームズ (TendaysGames)"
"51","342942","Tower Tactic Games"
"52","342942","White Goblin Games"
"53","174430","Cephalofair Games"
"54","174430","Albi"
"55","174430","Albi Polska"
"56","174430","Arclight Games"
"57","174430","Feuerland Spiele"
"58","174430","Galapagos Jogos"
"59","174430","Games Warehouse"
"60","174430","Gem Klub Kft."
"61","174430","Hobby World"
"62","174430","Korea Boardgames"
"63","174430","MYBG Co., Ltd."
"64","233078","Fantasy Flight Games"
"65","233078","ADC Blackfire Entertainment"
"66","233078","Arclight Games"
"67","233078","Asterion Press"
"68","233078","Delta Vision Publishing"
"69","233078","Edge Entertainment"
"70","233078","Galakta"
"71","233078","Galapagos Jogos"
"72","233078","Geekach Games"
"73","233078","Hobby World"
"74","233078","Playfun Games"
"75","233078","sternenschimmermeer"
"76","316554","Dire Wolf"
"77","316554","Arclight Games"
"78","316554","Broadway Toys LTD"
"79","316554","Galapagos Jogos"
"80","316554","Geekach Games"
"81","316554","Lavka Games"
"82","316554","Lucky Duck Games"
"83","316554","MIPL"
"84","316554","Reflexshop"
"85","316554","REXhry"
"86","316554","sternenschimmermeer"
"87","316554","Tabletop KZ"
"88","316554","YingDi (旅法师营地)"
"89","167791","FryxGames"
"90","167791","Arclight Games"
"91","167791","Bradspel.se"
"92","167791","Fantasmagoria"
"93","167791","Ghenos Games"
"94","167791","Green Elephant Games"
"95","167791","Intrafin Games"
"96","167791","Kaissa Chess & Games"
"97","167791","Kilogames"
"98","167791","Korea Boardgames"
"99","167791","Lautapelit.fi"
"100","167791","Lavka Games"
"101","167791","Lex Games"
"102","167791","Maldito Games"
"103","167791","MeepleBR"
